aded25,gen25zm,gen25ac,gen25cs,gen25ea,gen25othr,gen25tot,win25
87041,275,115,16,1,1,408,gen25zm
87042,311,154,18,0,1,484,gen25zm
87043,313,152,16,3,2,486,gen25zm
87044,277,125,18,0,0,420,gen25zm
87045,275,135,20,0,4,434,gen25zm
87046,179,180,18,1,4,382,gen25ac
87047,227,186,35,2,4,454,gen25zm
87048,247,176,46,1,1,471,gen25zm
87049,204,232,33,6,0,475,gen25ac
87050,102,120,11,0,0,233,gen25ac
87051,136,148,11,1,3,299,gen25ac
87052,105,96,5,1,1,208,gen25zm
87053,0,0,0,0,0,0,Tie
87054,0,0,0,0,0,0,Tie
87055,0,0,0,0,0,0,Tie
